index,AK,AL,USA,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
2017-01-01,292330.75,116201.35,212615.0,93861.9,194601.0,402884.6666666667,345369.9375,261110.4,396087.0,222693.0,182318.4642857143,119360.67567567568,544909.25,134016.90476190476,222083.23076923078,105394.85185185185,113900.33333333333,118598.8,113750.45,135805.25,353995.71428571426,208510.66666666666,177935.0,127000.21212121213,169368.95,120828.78260869565,116258.875,252805.2857142857,154331.2972972973,216570.25,138383.75,204220.5,226271.5,163342.14285714287,246682.88888888888,141021.5,111891.53333333334,94423.4,254090.3,134038.11764705883,274811.0,147348.8,180070.55555555556,127544.88461538461,131093.66153846154,298750.9,174194.83333333334,218882.0,249496.7,147075.33333333334,93104.81818181818,263466.77777777775
2017-02-01,292763.25,116415.85,213735.0,94135.3,195648.27272727274,405162.57575757575,347418.375,261073.6,398728.0,222601.0,183190.14285714287,119831.32432432432,546197.75,134672.0,223537.3076923077,105653.96296296296,114378.75,119193.4,114199.45,135585.6875,355356.28571428574,208836.16666666666,178393.25,127731.69696969698,170559.25,121364.60869565218,116492.6875,253817.2857142857,154691.5945945946,217066.625,139198.91666666666,204976.16666666666,225663.75,163537.2857142857,248401.22222222222,141333.0,112460.2,94614.4,255894.55,134365.5588235294,275907.0,147566.93333333332,181041.44444444444,128041.80769230769,131852.8153846154,300069.2,174746.83333333334,219063.5,251371.25,147740.58333333334,93132.36363636363,263242.3333333333
2017-03-01,293211.25,116621.05,214896.0,94408.3,196759.36363636365,407080.6060606061,349626.75,261526.0,400128.0,222792.0,184110.32142857142,120348.83783783784,547998.75,135361.47619047618,224688.92307692306,105913.0,114890.72222222222,119675.06666666667,114766.2,135830.3125,356335.71428571426,209140.0,179170.5,128462.78787878787,171719.15,121954.39130434782,116671.625,254905.85714285713,155057.1081081081,217550.75,140054.0,205792.83333333334,225648.5,163895.2857142857,250502.55555555556,141820.5,113012.8,94746.7,257620.75,134837.67647058822,277549.0,147745.6,181932.33333333334,128655.46153846153,132452.2,301694.9,175398.83333333334,219313.0,253518.95,148400.66666666666,93214.81818181818,263021.8888888889
2017-04-01,293695.25,116983.45,216137.0,94705.95,197761.9090909091,409077.2727272727,351866.0625,262122.6,400871.0,222600.5,185211.25,120904.37837837837,550228.75,136005.04761904763,226150.15384615384,106174.55555555556,115464.88888888889,120058.6,115399.7,136285.875,357797.5714285714,209440.33333333334,180444.75,129327.24242424243,172847.2,122576.78260869565,116953.4375,256334.42857142858,155602.83783783784,217373.625,140968.41666666666,206936.33333333334,227031.25,164183.0,252493.55555555556,142354.92307692306,113586.6,94999.5,259326.3,135389.23529411765,280055.0,148329.2,182801.44444444444,129323.0,133050.83076923076,303633.3,176071.16666666666,219723.75,255854.7,149137.29166666666,93473.0,263319.6666666667
2017-05-01,294328.25,117352.05,217323.0,95087.95,198801.54545454544,411365.2727272727,353674.0625,263474.6,400389.0,222784.0,186236.89285714287,121404.27027027027,554647.25,136547.42857142858,227658.15384615384,106444.96296296296,116015.30555555556,120324.4,116067.6,136904.125,359882.0,209671.5,182140.25,130210.27272727272,173833.35,123122.08695652174,117172.3125,257699.85714285713,156347.8918918919,217395.25,141839.0,207938.5,228887.25,164650.0,254461.66666666666,143102.92307692306,114105.15555555555,95241.0,260520.1,136006.88235294117,282836.0,148924.8,183766.88888888888,130034.46153846153,133589.4923076923,305827.2,176690.16666666666,220695.5,258214.0,149947.33333333334,93750.81818181818,263481.6666666667
2017-06-01,295174.5,117685.6,218461.0,95439.4,199772.0,413925.1212121212,355412.25,264178.2,400718.0,223050.0,187269.32142857142,121921.7027027027,558529.25,137058.57142857142,229340.15384615384,106749.37037037036,116593.83333333333,120614.33333333333,116664.0,137338.3125,362176.85714285716,210167.83333333334,184169.5,130965.69696969698,174802.65,123982.45833333333,117416.875,259012.14285714287,157003.2972972973,217756.875,142631.5,209168.33333333334,230019.0,164896.7142857143,256340.11111111112,143835.15384615384,114563.0,95516.9,261556.4,136431.32352941178,285814.0,149681.53333333333,182169.4,130732.42307692308,134128.83076923076,307829.5,177163.33333333334,221760.5,260324.95,150743.41666666666,93998.72727272728,263835.77777777775
2017-07-01,296008.0,118026.4,219456.0,95873.9,200536.36363636365,414882.30303030304,357157.5625,265328.8,401099.0,223723.0,188289.35714285713,122458.02702702703,561891.25,137465.61904761905,230904.6923076923,107042.85185185185,117121.94444444444,120899.06666666667,117223.35,137715.0625,364412.5714285714,210726.83333333334,186016.5,131520.66666666666,175682.9,124343.625,117607.4375,260135.2857142857,157718.97297297296,218641.0,143344.25,210238.83333333334,230680.75,165352.07142857142,258734.33333333334,144559.3076923077,115044.26666666666,95784.2,262578.2,136889.58823529413,287759.0,150379.53333333333,182970.3,131472.11538461538,134626.4153846154,310206.9,177543.58333333334,222702.5,262343.05,151528.16666666666,94274.72727272728,264189.1111111111
2017-08-01,296769.75,118052.42857142857,220454.0,96229.25,201317.9090909091,416400.8787878788,359045.0625,266186.2,402440.0,224441.0,189391.14285714287,123092.08108108108,562553.5,137878.38095238095,232544.92307692306,107293.22222222222,117694.97222222222,121075.86666666667,117771.35,140497.88235294117,366026.28571428574,211418.66666666666,187117.25,131984.33333333334,176591.0,124718.70833333333,117835.4375,260882.42857142858,158235.94594594595,219027.875,144011.91666666666,211411.0,231112.25,165684.85714285713,261026.66666666666,145164.34615384616,115559.26666666666,96059.35,263960.35,137308.9705882353,288485.0,150951.53333333333,183591.9,132136.88461538462,135077.12307692308,312620.3,177968.58333333334,223875.0,264389.85,152219.83333333334,94593.45454545454,264857.55555555556
2017-09-01,297535.25,118524.85714285714,221546.0,96540.45,202257.36363636365,418924.9090909091,360899.75,267190.8,403795.0,225206.0,190499.9642857143,123841.91891891892,563993.0,138193.47619047618,234369.84615384616,107547.66666666667,118292.22222222222,121236.86666666667,118386.65,140760.5294117647,368073.4285714286,212173.5,187657.5,132534.15151515152,177449.0,125168.625,118143.75,261845.14285714287,158775.35135135136,218971.5,144722.66666666666,212544.16666666666,231744.25,166311.42857142858,263853.3333333333,145743.8076923077,116113.55555555556,96337.5,265339.55,137794.5588235294,288740.0,151404.13333333333,184151.9,132856.3076923077,135417.46153846153,314777.4,178517.83333333334,225194.25,265996.65,152790.66666666666,95033.90909090909,265884.1111111111
2017-10-01,298342.25,118912.0,222750.0,96805.4,203312.27272727274,422954.24242424243,362832.5,267868.8,405660.0,226405.5,191518.89285714287,124575.37837837837,566214.75,138507.95238095237,236024.92307692306,107781.92592592593,118907.83333333333,121537.8,118958.9,140913.35294117648,369730.28571428574,213356.66666666666,187904.0,133201.21212121213,178339.55,125710.45833333333,118511.0625,262922.4285714286,159336.94594594595,218784.5,145436.16666666666,213846.0,232580.25,166731.0,266516.77777777775,146194.3076923077,116600.91111111111,96729.75,266742.1,138262.82352941178,289366.0,151893.06666666668,184579.4,133544.57692307694,135811.24615384615,316374.2,179163.41666666666,226783.5,267890.3,153424.875,95486.90909090909,267067.6666666667
2017-11-01,299019.25,119248.76190476191,224014.0,97077.8,204510.0909090909,426557.2121212121,364695.3125,268932.2,407558.0,227558.5,192560.39285714287,125327.78378378379,568720.0,138832.47619047618,237814.3076923077,108090.77777777778,119517.05555555556,125095.875,119464.25,141195.4705882353,371409.85714285716,214782.16666666666,188242.25,133990.36363636365,179352.3,126288.375,118919.6875,264726.85714285716,159908.48648648648,218848.25,146164.16666666666,215049.33333333334,233459.25,167146.2857142857,269383.77777777775,146744.38461538462,117090.91111111111,97152.15,268060.55,138741.11764705883,291560.0,152546.26666666666,185037.2,134489.96153846153,136262.87692307692,317878.4,179761.16666666666,227932.75,269895.3,154228.66666666666,95945.0,268249.55555555556
2017-12-01,299286.5,119663.95238095238,225309.0,97397.5,205510.27272727274,430229.6666666667,367107.0,269686.0,408793.0,228606.5,193666.92857142858,125993.16216216216,570377.75,139265.38095238095,239887.53846153847,108342.92592592593,120165.97222222222,125626.375,119902.35,141270.70588235295,373268.28571428574,215704.83333333334,188760.5,134819.9696969697,180548.65,126863.20833333333,119266.5,266317.14285714284,160592.54054054053,218955.0,146917.0,216204.0,234840.25,167444.14285714287,272162.22222222225,147168.0,117651.4,97543.5,269736.2,139219.29411764705,294151.0,153217.8,185477.2,135387.65384615384,136926.47692307693,319886.2,180437.41666666666,228972.0,272415.8,155260.125,96349.09090909091,269412.0
2018-01-01,299290.5,120264.28571428571,226599.0,97677.75,206738.0,434219.54545454547,369354.4375,269636.4,409693.0,229731.0,194694.2857142857,126562.21621621621,571784.5,139705.04761904763,242430.0,108567.18518518518,120765.91666666667,126027.4375,120343.95,141269.11764705883,375346.85714285716,216803.16666666666,189691.25,135716.57575757575,181647.55,126371.32,119520.1875,267439.0,161142.97297297296,219250.0,147659.41666666666,217109.16666666666,235887.25,167947.35714285713,275101.8888888889,147691.84615384616,118232.64444444445,97769.25,271424.9,139838.08823529413,296152.0,153960.66666666666,185965.5,136207.61538461538,137571.55384615384,322137.4,181075.75,229922.5,274482.2,156155.66666666666,96811.54545454546,270485.8888888889
2018-02-01,299055.75,120903.04761904762,227967.0,97993.35,208191.9090909091,438321.51515151514,371928.9375,269229.6,410636.0,231091.0,195609.5357142857,127132.7027027027,573817.25,140178.7142857143,245001.07692307694,108798.74074074074,121432.11111111111,126369.625,120816.65,141090.17647058822,377734.28571428574,217791.5,190908.25,136730.18181818182,182775.3,126848.16,119737.375,268457.14285714284,161781.83783783784,219418.0,148411.08333333334,218012.5,236704.5,168477.35714285713,278438.22222222225,148096.84615384616,118857.46666666666,97976.0,273163.35,140473.4705882353,297700.0,154661.73333333334,186529.4,136978.03846153847,138293.12307692308,324783.2,181728.41666666666,230524.5,276475.35,157116.70833333334,97181.18181818182,271639.55555555556
2018-03-01,299003.25,121557.04761904762,229298.0,98359.5,209580.9090909091,441975.8181818182,374269.9375,269393.8,412180.0,232529.5,196497.89285714287,127750.2972972973,575823.75,140609.14285714287,247240.46153846153,109085.29629629629,122096.80555555556,126787.5,121256.45,140956.23529411765,379165.71428571426,219158.33333333334,192178.25,137712.27272727274,183865.8,127364.04,119962.125,269576.14285714284,162397.32432432432,219668.75,149066.0,218937.0,236981.25,169055.42857142858,281823.22222222225,148537.46153846153,119479.6888888889,98245.9,274725.15,141336.61764705883,299788.0,155523.73333333334,187242.6,137735.8076923077,138963.29230769232,326887.2,182227.0,230770.25,278571.7,158074.41666666666,97485.54545454546,272854.3333333333
2018-04-01,299283.0,122106.09523809524,230614.0,98785.9,210753.81818181818,445000.0606060606,376853.75,269869.8,413842.0,233418.0,197535.25,128502.83783783784,576916.75,141104.42857142858,249523.23076923078,109382.07407407407,122843.61111111111,127280.1875,121722.0,140918.23529411765,380363.28571428574,220113.16666666666,193046.75,138536.87878787878,184935.8,127895.76,120366.6875,271423.28571428574,163171.2972972973,219862.5,149797.08333333334,220221.83333333334,237458.25,169748.2142857143,285672.3333333333,149024.26923076922,120194.06666666667,98573.3,276496.05,142081.64705882352,301644.0,156304.4,187967.4,138550.6923076923,139670.0,329437.3,182718.25,231042.25,281076.2,159096.91666666666,97649.81818181818,274106.22222222225
2018-05-01,299812.75,122620.47619047618,231830.0,99161.35,211650.27272727274,448170.48484848486,379015.8125,270198.2,415473.0,233911.5,198743.5,129296.48648648648,579033.75,141546.47619047618,251721.07692307694,109659.81481481482,123552.47222222222,124851.82352941176,122194.45,140913.35294117648,381502.4285714286,220708.16666666666,194081.75,139121.0,185632.2,128415.44,120807.3125,273429.85714285716,163837.16216216216,219943.5,150622.33333333334,221313.83333333334,238014.0,170344.92857142858,289123.6666666667,149685.3076923077,120918.48888888888,98842.8,278198.3,142917.26470588235,303217.0,157036.26666666666,188970.1,139340.92307692306,140361.78461538462,331033.6,183257.25,231774.0,283509.3,160061.16666666666,97809.36363636363,275003.55555555556
2018-06-01,300523.25,123113.38095238095,232941.0,99484.85,212795.72727272726,450908.24242424243,380969.0,270650.6,416914.0,234181.5,199885.92857142858,129988.1081081081,581354.0,141795.95238095237,254289.84615384616,109836.55555555556,124242.69444444444,125271.17647058824,122725.9,141043.0588235294,383411.71428571426,221099.16666666666,195207.75,139712.57575757575,186227.15,129008.24,121292.6875,275630.28571428574,164547.56756756757,219722.75,151515.66666666666,222402.16666666666,238681.25,170932.57142857142,292576.55555555556,150319.42307692306,121556.93333333333,99051.3,279803.4,143442.88235294117,303966.0,157735.4,189892.3,140186.3076923077,141014.8,332809.7,183757.66666666666,231020.5,285552.05,160885.0,97868.36363636363,275586.44444444444
2018-07-01,300772.25,123647.09523809524,233973.0,99787.1,213948.0909090909,452876.57575757575,382774.0625,271239.0,418047.0,234649.0,200892.9642857143,130635.32432432432,584529.0,142005.47619047618,256584.15384615384,110012.25925925926,124980.30555555556,124394.27777777778,123251.65,141265.17647058822,385589.0,221393.66666666666,196598.75,140339.18181818182,186712.45,129601.44,121713.125,277500.85714285716,165206.0810810811,219430.875,152258.58333333334,223095.5,239492.0,171437.35714285713,295214.55555555556,151114.8076923077,122149.75555555556,99253.4,281422.25,143917.0294117647,305507.0,158392.2,190883.9,141075.3076923077,141546.87692307692,334544.5,184226.08333333334,230897.0,287513.9,161630.08333333334,97947.09090909091,276557.1111111111
2018-08-01,300591.5,124177.80952380953,234949.0,100095.3,215190.63636363635,453785.9696969697,384402.0,272068.0,418864.0,234923.0,201797.39285714287,131174.51351351352,586398.25,142203.04761904763,258721.6923076923,110169.5925925926,125694.66666666667,124541.05555555556,123751.5,141612.11764705883,387349.85714285716,221343.83333333334,197739.5,141080.60606060605,187428.75,130135.52,122086.8125,278254.5714285714,165875.72972972973,219225.125,152934.5,224096.5,240386.75,171939.0,297695.77777777775,151875.57692307694,122607.97777777778,99447.6,283047.1,144178.64705882352,307013.0,159077.26666666666,191684.8,141857.07692307694,141953.0,336752.3,184621.08333333334,230341.0,289203.3,162255.91666666666,98021.45454545454,277557.77777777775
2018-09-01,300176.0,124697.61904761905,235924.0,100438.3,216287.0909090909,454198.2727272727,385995.0625,272295.6,419602.0,235356.0,202739.85714285713,131728.5945945946,588283.25,142529.85714285713,260560.84615384616,110361.88888888889,126330.52777777778,124744.77777777778,124190.4,141899.9411764706,388539.14285714284,221433.0,198644.5,141724.45454545456,188098.7,130459.88,122440.25,278796.85714285716,166508.45945945947,219158.625,153616.41666666666,224949.66666666666,241271.0,172821.7142857143,299433.3333333333,152698.53846153847,123095.86666666667,99665.8,284492.75,144528.58823529413,308369.0,159709.13333333333,192623.2,142584.26923076922,142357.46153846153,339012.2,185077.66666666666,231370.0,290990.45,162918.875,98287.36363636363,278845.22222222225
2018-10-01,300077.5,125193.33333333333,236888.0,100756.45,217238.45454545456,455009.57575757575,387619.0,272687.0,420647.0,235961.0,203743.25,132220.67567567568,589604.5,142807.42857142858,262487.23076923075,110552.0,126811.94444444444,125155.77777777778,124538.75,142197.0,389344.4285714286,221529.66666666666,199360.5,142398.78787878787,188925.8,130797.92,122822.0,279347.14285714284,167144.5945945946,218910.0,154281.41666666666,225857.0,242421.0,173903.7857142857,301023.77777777775,153329.34615384616,123594.6888888889,99959.35,285783.6,144858.76470588235,308751.0,160330.06666666668,193606.9,143261.6923076923,142850.4923076923,341624.0,185603.91666666666,231520.0,292576.65,163576.5,98515.45454545454,279567.0
2018-11-01,300542.75,125750.61904761905,237861.0,101144.05,218324.54545454544,455601.9090909091,389530.5,272805.8,421613.0,237229.5,204767.5357142857,132776.9189189189,590433.75,143070.33333333334,264839.8461538461,110760.48148148147,127344.69444444444,125623.94444444444,124739.4,142414.5294117647,390077.0,222317.16666666666,200003.75,143002.9696969697,189554.4,131172.0,123238.0625,280875.4285714286,167793.83783783784,218767.125,154939.33333333334,226447.83333333334,242942.5,175286.07142857142,302439.3333333333,153968.88461538462,124158.46666666666,100346.6,287069.0,145280.35294117648,309044.0,160989.13333333333,194356.5,143967.96153846153,143395.8923076923,344766.1,186147.58333333334,231527.5,294189.85,164224.70833333334,98779.36363636363,280438.0
2018-12-01,301388.75,126263.52380952382,238852.0,101566.15,219463.54545454544,455753.6060606061,391342.1875,273344.4,423258.0,238565.0,205865.75,133415.1081081081,590669.75,143417.95238095237,267033.76923076925,111028.74074074074,127940.22222222222,125613.63157894737,124972.1,142673.0,390845.14285714284,222838.5,200716.0,143656.0606060606,190031.15,131673.48,123583.75,282456.4285714286,168437.86486486485,218935.0,155625.0,227126.33333333334,243333.25,176498.42857142858,304146.8888888889,154469.96153846153,124748.44444444444,100651.7,288243.55,145717.73529411765,309358.0,161619.33333333334,195086.8,144590.53846153847,143972.3230769231,347645.6,186776.33333333334,231525.25,295724.15,164957.45833333334,99017.45454545454,281075.1111111111
2019-01-01,302317.0,126714.38095238095,239870.0,101997.65,220678.0909090909,455296.75757575757,382465.82352941175,272856.2,424950.0,239969.5,220964.6896551724,134102.9189189189,591932.5,143837.66666666666,269378.3076923077,111339.29629629629,128695.55555555556,125930.68421052632,125354.35,142757.0588235294,391357.85714285716,223320.5,200818.5,144324.24242424243,190418.55,132134.24,123836.0,284328.71428571426,166509.35897435897,219589.0,156429.91666666666,227812.33333333334,243501.0,172224.1875,305651.0,155114.76923076922,125333.3111111111,100901.2,289558.5,146202.67647058822,309813.0,162179.66666666666,195655.1,145201.42307692306,144515.86153846153,350003.6,187477.0,232009.25,297585.3,165632.83333333334,99297.0,281943.44444444444
2019-02-01,303878.75,127137.52380952382,240810.0,102390.4,221829.63636363635,455053.1212121212,383905.4705882353,272977.2,426890.0,240123.5,221749.62068965516,134839.67567567568,593600.25,144387.19047619047,271517.0,111763.92592592593,129386.86111111111,126242.57894736843,125976.7,142851.88235294117,391304.71428571426,223637.33333333334,201052.25,145082.27272727274,190945.25,132685.64,120539.23529411765,286190.14285714284,167208.38461538462,220427.625,157246.08333333334,228550.5,243967.5,172888.3125,307042.1111111111,155652.6923076923,125978.02222222222,101123.90476190476,290594.3,146741.70588235295,309789.0,162688.73333333334,196301.2,145724.23076923078,145085.1076923077,351928.2,188312.33333333334,232885.0,299359.75,166469.79166666666,99628.72727272728,282949.44444444444
2019-03-01,305485.0,127589.95238095238,241618.0,102779.35,222799.0909090909,454701.0303030303,385243.23529411765,273347.2,428168.0,240049.5,222242.06896551725,135536.2162162162,596161.0,144854.09523809524,273862.76923076925,112181.4074074074,130079.47222222222,126642.78947368421,126538.2,142966.5294117647,391665.0,223983.16666666666,200852.75,145929.30303030304,191815.05,133190.16,121013.05882352941,287838.28571428574,167926.53846153847,221110.0,158039.91666666666,229511.66666666666,244864.0,173316.75,308314.22222222225,156358.57692307694,126692.06666666667,101444.80952380953,291754.9,147205.5294117647,310833.0,163183.6,196786.9,146402.61538461538,145606.53846153847,353811.8,189161.33333333334,233912.25,301206.85,167334.20833333334,99970.27272727272,284550.8888888889
2019-04-01,307815.5,128065.71428571429,242316.0,103196.9,223543.18181818182,455310.75757575757,386693.0588235294,274334.8,428944.0,240053.0,222922.5172413793,136159.7837837838,597186.25,145272.7619047619,275990.3076923077,112531.33333333333,130727.66666666667,127003.26315789473,127163.9,143229.17647058822,392523.71428571426,224282.5,201419.0,146708.45454545456,192670.0,133742.24,121559.05882352941,289372.85714285716,168719.92307692306,221777.75,158825.16666666666,230376.83333333334,245684.0,174038.6875,309308.44444444444,156774.46153846153,127356.11111111111,101738.47619047618,292400.85,147723.4705882353,312167.0,163685.93333333332,197335.9,147083.88461538462,146132.70769230768,355108.3,190018.0,234537.75,302807.8,168272.70833333334,100316.36363636363,286321.8888888889
2019-05-01,309093.25,128507.14285714286,242961.0,103584.1,224360.27272727274,455774.45454545453,387634.70588235295,274991.2,429240.0,240607.5,223396.6551724138,136673.56756756757,599427.75,145620.33333333334,277843.6153846154,112792.88888888889,131428.88888888888,127357.78947368421,127768.15,143532.82352941178,394128.28571428574,224449.66666666666,201869.5,147351.18181818182,193706.9,134205.24,121983.64705882352,290474.4285714286,169421.4871794872,222311.75,159559.66666666666,231393.0,246738.5,175148.875,310177.0,157183.11538461538,128014.82222222222,101993.14285714286,293264.2,148242.11764705883,313393.0,164126.73333333334,197901.5,147750.76923076922,146694.8923076923,356067.8,190811.25,235819.25,304540.05,169040.29166666666,100666.81818181818,288273.1111111111
2019-06-01,310337.0,128900.80952380953,243561.0,103941.8,225398.27272727274,455915.51515151514,388462.64705882355,274746.4,429493.0,241530.5,223850.58620689655,137199.1891891892,601417.0,146025.09523809524,279374.0,113019.77777777778,132114.27777777778,127705.73684210527,128408.65,143746.76470588235,395439.28571428574,224871.83333333334,202875.5,147843.33333333334,194497.05,134698.8,122303.76470588235,291826.14285714284,170099.58974358975,222901.5,160255.25,232070.33333333334,246988.75,176348.5,310557.77777777775,157373.88461538462,128619.06666666667,102239.76190476191,294144.95,148836.5588235294,313780.0,164525.66666666666,198590.5,148248.11538461538,147262.46153846153,357113.6,191590.25,237166.25,306136.95,169752.75,100976.36363636363,290140.22222222225
